Symbol	Description
CVGW	Hscei 5xlongsg240912
CVHW	Hstech 5xlongsg231102
CVIW	Hsi 7xshortsg241218
CVJW	Simsci 5xlongsg260226
CVKW	Hstech 7xlongsg240416
CWBU	Cromwell Reit Eur
CWCU	Cromwell Reit Sgd
CWFW	Hscei 7xlongsg240424
CWGW	Hstech 5xshortsg240327
CWHW	Sti 7xlongsg250529
CWIW	Djia 5xlongsg250911a
CWKW	Hscei 5xshortsg240912
CWLW	Hsi 7xlongsg241030
CWMW	Hstech 5xshortsg241218
CWPW	Simsci 5xshortsg260226
CWQW	Hstech 7xshortsg240416
CXBW	S&p 5xshortsg250228
CXCW	Hstech 5xlongsg240424
CXEW	Ndx 5xshortsg240425
CXGW	Sti 2xshortsg250529
CXIW	S&p 7xshortsg241016
CXJW	Hscei 7xshortsg240912
CXKW	Hsi 5xshortsg241030
CXLW	Simsci 7xlongsg260226a
CXMW	Hstech 7xlongsg240402
CXRW	Hscei 7xshortsg231215
CXS	Uobam Pingan Chinext S$
CXU	Uobam Pingan Chinext Us$
CY6U	Ascendas India Trust
CYAW	S&p 5xlongsg250228a
CYB	Icbc Csop Cgb Etf Us$d
CYC	Icbc Csop Cgb Etf S$
CYDW	Ndx 5xlongsg240425
CYEW	Ndx 5xshortsg240425a
CYFW	Hscei 7xlongsg231215
CYGW	Sti 5xshortsg250529
CYIW	S&p 7xlongsg241016
CYJW	Hsi 5xlongsg240912
CYMW	Hstech 5xlongsg241218
CYNW	Simsci 7xlongsg260226
CYOW	Hstech 7xshortsg240402
CYW	Tricklestar
CYX	Icbc Csop Cgb Etf Us$a
CZBW	Dlc Sg7xshorthsi230920
CZDW	Simsci 7xshortsg231215
CZEW	S&p 5xshortsg250228a
CZFW	Ndx 5xlongsg240425a
CZGW	Sti 7xshortsg250529
CZHW	Hsi 7xlongsg240912
CZIW	Hscei 7xlongsg241114
CZJW	Hsi 5xshortsg240912
CZLW	Hsi 5xlongsg250416
CZMW	Hsi 7xshortsg240125
CZNW	Nasdaq 7xshortsg260401
CZSW	Dlc Sg7xshortmsg230712
CZZW	Nasdaq 7xshortsg241218
D01	Dairy Farm Int'l Holdings Ltd
D03	Del Monte Pacific Limited
D05	Dbs Group Holdings Ltd
D07	Spdr Djia Etf Trust
D5IU	Lippo Malls Indo Retail Trust
D8DU	First Ship Lease Trust
DAIW	Lenovo 5xlongsg240215
DAKW	Wilmar 5xshortsg240424
DAMW	Hkex 5xlongsg240516
DAOW	Aac 5xlongsg230620
DATW	Aac 5xlongsg231214
DAVW	Meituan 5xlongsg231024
DAYW	Alibaba 5xlongsg231024
DBHW	Venture 5xlongsg230713
DBIW	Lenovo 5xshortsg240215
DBPW	Anta 5xlongsg240620
DBWW	Kuaisho 5xlongsg231024
DBYW	Singtel 5xlongsg231214
DCDW	Geely 5xshortsg231214
DCGW	Sia 5xlongsg240424
DCJW	Lining 5xlongsg231019
DCQW	Hkex 5xshortsg250205
DCRU	Digicore Reit Usd
DCUW	Alibaba 5xlongsg250205
DCVW	Citydev 5xlongsg250226
DCXW	Venture 5xlongsg250226
DCZW	Aac 5xlongsg240327
DDPW	Sgx 5xlongsg240424
DDSW	Sats 5xlongsg250515
DDTW	Byd 5xshortsg230620
DDYW	Jd 5xlongsg231024
DDZW	Dlc Sg5xshortgeely B
DEEW	Pingan 5xlongsg240424
DEFW	Sats 5xshortsg250515
DEGW	Gwmotor 5xlongsg230620
DEHW	Xiaomi 5xlongsg231102
DELW	Hsbc 5xshortsg250205
DEMW	Wuxibio 5xlongsg240205
DENW	Dbs 5xlongsg250226
DEOW	Dbs 5xshortsg250226
DEPW	Cmob 5xlongsg250327
DFEW	Yzj 5xshortsg231024
DFIW	Ocbc 5xshortsg240424
DFKW	Sembcorp 5xlongsg250515
DFLW	Lining 5xlongsg240620
DFMW	Wuxibio 5xlongsg231102
DFRW	Netease 5xshortsg250205
DFSW	Dlc Sg5xshortsunny B
DFTW	Alibaba 5xshortsg240205
DFUW	Genting 5xlongsg250226
DFWW	Ocbc 5xshortsg250226
DFXW	Geely 5xlongsg240327
DFYW	Dlc Sg5xshort Byd
DFZW	Lining 5xshortsg240327
DGCW	Dlc Sg5xshort Galaxy A
DGEW	Areit 5xshortsg231214
DGJW	Uob 5xshortsg241024
DGKW	Kepcorp 5xshortsg240424
DGMW	Sembcorp 5xshortsg250515
DGNW	Jd 5xshortsg230620
DGUW	Tencent 5xlongsg231102
DGWW	Sunny 5xshortsg240205
DGYW	Byd 5xshortsg240205
DHBW	Uob 5xlongsg230713
DHEW	Dlc Sg5xshort Hkex A
DHGW	Dlc Sg5xshortwilmar B
DHHW	Uob 5xlongsg251023
DHLU	Daiwa Hse Log Tr
DHMW	Pingan 5xshortsg230705
DHNW	Kepcorp 5xlongsg240424
DHQW	Steng 5xlongsg250515
DHRW	Meituan 5xshortsg230620
DHSW	Dlc Sg5xlong Hsbc A
DHUW	Sinobio 5xlongsg231102
DHVW	Sinobio 5xshortsg231220
DHWW	Tencent 5xshortsg240205
DHXW	Galaxy 5xshortsg250205
DHZW	Petroch 5xshortsg231012
DIBW	Ckasset 5xshortsg231019
DIDW	Sunny 5xlongsg231024
DIFW	Ocbc 5xlongsg251023
DIGW	Steng 5xshortsg250515
DIHW	Tencent 5xlongsg231214
DIIW	Sunny 5xlongsg230620
DIKW	Petroch 5xlongsg241030
DIMW	Aia 5xshortsg250327
DINW	Dlc Sg5xlong Byd
DIOW	Ocbc 5xlongsg250226
DJCW	Dlc Sg5xlong Jd
DJDW	Dlc Sg5xlongjd A
DJHW	Ckasset 5xlongsg231019
DJJW	Sats 5xlongsg231024
DJLW	Cmb 5xlongsg240801
DJNW	Xpeng 5xlongsg230620
DJOW	Geely 5xlongsg231102
DJPW	Sunny 5xlongsg240327
DJSW	Uob 5xlongsg250226
DKAW	Aac 5xlongsg240201
DKBW	Dbs 5xlongsg240306
DKEW	Dlc Sg5xlongkepcorp A
DKGW	Bilibili 5xlongsg230803
DKLW	Sinobio 5xlongsg231220
DKMW	Singtel 5xshortsg230713
DKNW	Cspc 5xlongsg231102
DLDW	Dbs 5xshortsg240306
DLFW	Byd 5xlongsg230803
DLGW	Byd 5xlongsg230914
DLHW	Cnooc 5xshortsg241030
DLJW	Baidu 5xlongsg231115
DLKW	Kingdee 5xlongsg231220
DLNW	Xiaomi 5xshortsg231220
DLSW	Kingsof 5xshortsg231220
DLTW	Hkex 5xshortsg240125
DLVW	Bilibili 5xlongsg231220
DLZW	Yzj 5xlongsg241218
DM0	Psc Corporation Ltd
DMBW	Dlc Sg5xlong Alibaba
DMEW	Dlc Sg5xlong Meituan
DMFW	Cnooc 5xlongsg240201
DMIW	Tencent 5xshortsg231214
DMKW	Bydelec 5xshortsg230803
DMMW	Byd 5xshortsg230914
DMNW	Hkex 5xlongsg231102
DMRW	Kuaisho 5xlongsg231115
DMYW	Sands 5xshortsg231220
DNAW	Dlc Sg5xlongnetease A
DNFW	Dlc Sg5xlongalibaba A
DNJW	Galaxy 5xlongsg230914
DNKW	Lining 5xlongsg231115
DNLW	Netease 5xlongsg231115
DNNW	Pingan 5xshortsg231220
DNPW	Byd 5xlongsg231220
DNQW	Kuaisho 5xlongsg231220
DNSW	Dlc Sg5xlong Netease
DNVW	Jd 5xlongsg231220
DNWW	Wilmar 5xlongsg241218
DOCW	Hsbc 5xlongsg250203
DOGW	Uob 5xlongsg240306
DOMW	Cosco 5xlongsg230803
DONW	Galaxy 5xshortsg230914
DOOW	Kingdee 5xshortsg231220
DOPW	Dlc Sg5xlong Pahealth
DORW	Alibaba 5xlongsg231123
DOSW	Pingan 5xlongsg231115
DOVW	Meituan 5xshortsg231220
DOWW	Tencent 5xlongsg231220
DOYW	Bydelec 5xlongsg231220a
DPBW	Wilmar 5xlongsg240306
DPDW	Tencent 5xlongsg230803
DPFW	Cosco 5xshortsg230803
DPGW	Sgx 5xshortsg241218
DPHW	Alibaba 5xshortsg231123
DPJW	Geely 5xshortsg231115
DPKW	Kuaisho 5xshortsg231220
DPZW	Venture 5xshortsg241218
DQCW	Cnooc 5xshortsg240201
DQEW	Dbs 5xlongsg230713
DQGW	Genting 5xshortsg240306
DQHW	Wuxibio 5xshortsg230803
DQJW	Ganfeng 5xlongsg230803
DQKW	Sembcorp 5xshortsg241218
DQLW	Aac 5xshortsg231123
DQPW	Pingan 5xlongsg230705
DQRW	Sunny 5xshortsg231115
DQSW	Jd 5xshortsg231220
DRBW	Sia 5xshortsg240306
DRCW	Ganfeng 5xshortsg230803
DRHW	Tencent 5xshortsg240411
DRMW	Bydelec 5xshortsg231220a
DRNW	Hsi 21000mbecw230530
DRX	St Group Food
DRZW	Venture 5xlongsg241218
DSDW	Dlc Sg5xlongsunny A
DSGW	Cmb 5xshortsg231019
DSMW	Uob 5xshortsg240306
DSOW	Xiaomi 5xshortsg231214
DSPW	Sands 5xlongsg230803
DSQW	Jd 5xshortsg240327
DSRW	Djia 7xlongub250922
